Row	viability
C_542	0.35
C_543	0.14
C_544	1.0409
C_545	0.911
C_546	1.13
C_547	0.89
C_548	0.77
C_549	0.54
C_550	0.49
C_551	0.37
C_552	0.87
C_553	0.82
C_554	1.0463
C_555	0.992
C_556	0.9977
C_557	0.86
C_558	0.73
C_559	0.34
C_560	1.247
C_561	1.269
C_562	1.0062
C_563	1.193
C_564	0.942
C_565	0.79
C_566	0.74
C_567	0.62
C_568	1.19
C_569	0.82
C_570	1.204
C_571	1.133
C_572	1.454
C_573	1.101
C_574	0.8
C_575	0.59
C_576	1.152
C_577	1.305
C_578	1.294
C_579	0.999
C_580	1.029
C_581	0.89
C_582	0.909
C_583	0.924
C_584	0.86
C_585	1.288
C_586	0.945
C_587	0.9983
C_588	0.945
C_589	1.0249
C_590	0.917
C_591	0.9974
C_592	1.21
C_593	1.172
C_594	1.134
C_595	0.934
C_596	1.0127
C_597	0.61
C_598	0.49
C_599	0.23
C_600	0.925
C_601	1.162
C_602	0.906
C_603	1.243
C_604	1.198
C_605	1.0814
C_606	0.73
C_607	1.0129
C_608	0.83
C_609	0.85
C_610	0.89
C_611	1.0643
C_612	0.93
C_613	0.84
C_614	0.71
C_615	0.55
C_616	1.151
C_617	1.11
C_618	0.902
C_619	0.79
C_620	0.7
C_621	0.67
C_622	0.59
C_623	0.58
C_624	0.988
C_625	1.208
C_626	0.946
C_627	0.972
C_628	0.932
C_629	0.75
C_630	0.6
C_631	0.45
C_632	0.979
C_633	1.256
C_634	1.0911
C_635	0.942
C_636	0.9963
C_637	1.0209
C_638	0.929
C_639	0.9
C_640	0.925
C_641	0.988
C_642	0.943
C_643	0.948
C_644	1.0899
C_645	1.0293
C_646	0.74
C_647	0.78
C_648	0.986
C_649	1.231
C_650	0.986
C_651	1.0856
C_652	0.87
C_653	0.942
C_654	0.4
C_655	0.39
C_656	0.82
C_657	1.0069
C_658	0.85
C_659	1.0403
C_660	1.0084
C_661	1.0834
C_662	0.9971
C_663	0.932
C_664	0.85
C_665	0.84
C_666	0.88
C_667	0.83
C_668	0.73
C_669	0.55
C_670	0.37
C_671	0.33
C_672	1.229
C_673	1.257
C_674	1.127
C_675	1.0302
C_676	0.932
C_677	0.932
C_678	0.77
C_679	0.8
C_680	1.249
C_681	1.431
C_682	1.257
C_683	1.172
C_684	1.0911
C_685	1.104
C_686	0.84
C_687	0.932
C_688	1.321
C_689	1.234
C_690	1.0416
C_691	1.0182
C_692	0.87
C_693	1.0748
C_694	0.67
C_695	0.61
C_696	0.88
C_697	0.904
C_698	0.8
C_699	0.79
C_700	1.0237
C_701	1.165
C_702	0.8
C_703	0.82
C_704	1.167
C_705	1.0619
C_706	1.0557
C_707	0.7
C_708	1.217
C_709	1.0133
C_710	1.0722
C_711	0.85
C_712	1.125
C_713	1.0293
C_714	0.83
C_715	0.86
C_716	0.76
C_717	0.73
C_718	0.38
C_719	0.35
C_720	0.951
C_721	1.0625
C_722	1.0557
C_723	1.14
C_724	0.84
C_725	0.912
C_726	0.65
C_727	0.54
C_728	1.047
C_729	0.962
C_730	1.0655
C_731	1.0676
C_732	0.905
C_733	0.81
C_734	0.71
C_735	0.62
C_736	0.941
C_737	0.79
C_738	0.74
C_739	0.69
C_740	0.47
C_741	0.53
C_742	0.42
C_743	0.42
C_744	0.984
C_745	0.905
C_746	1.0143
C_747	0.84
C_748	1.0746
C_749	1.184
C_750	1.301
C_751	1.281
C_752	0.958
C_753	1.0577
C_754	1.0232
C_755	1.0153
C_756	0.917
C_757	0.944
C_758	0.7
C_759	0.56
C_760	0.914
C_761	0.84
C_762	0.916
C_763	0.76
C_764	0.63
C_765	0.66
C_766	0.52
C_767	0.5
C_768	0.9
C_769	0.71
C_770	0.81
C_771	0.77
C_772	0.73
C_773	0.62
C_774	0.6
C_775	0.5
C_776	0.923
C_777	1.105
C_778	1.0726
C_779	1.119
C_780	1.0635
C_781	1.182
C_782	0.902
C_783	1.0914
C_784	0.969
C_785	0.928
C_786	1.118
C_787	1.0781
C_788	1.184
C_789	1.003
C_790	0.86
C_791	0.56
C_792	1.0178
C_793	1.0033
C_794	0.85
C_795	0.9
C_796	0.82
C_797	0.8
C_798	0.75
C_799	0.85
C_800	0.929
C_801	0.938
C_802	0.915
C_803	0.96
C_804	1.0307
C_805	0.966
C_806	1.0102
