Data	Function	Rep	Type	Value
cooperativeActivation.tsv	I	0	Param 2	0.583035315
cooperativeActivation.tsv	I	0	Param 3	7.02e-06
cooperativeActivation.tsv	I	1	r	0.683967938
cooperativeActivation.tsv	I	1	Param 1	0.945589937
cooperativeActivation.tsv	I	1	Param 2	0.546248332
cooperativeActivation.tsv	I	1	Param 3	3.29e-07
cooperativeActivation.tsv	I	2	r	0.684014474
cooperativeActivation.tsv	I	2	Param 1	0.555886968
cooperativeActivation.tsv	I	2	Param 2	0.319835508
cooperativeActivation.tsv	I	2	Param 3	1.43e-09
cooperativeActivation.tsv	CA	0	r	0.99999966
cooperativeActivation.tsv	CA	0	Param 1	0.966713084
cooperativeActivation.tsv	CA	0	Param 2	0.193452317
cooperativeActivation.tsv	CA	1	r	0.999999695
cooperativeActivation.tsv	CA	1	Param 1	0.567339598
cooperativeActivation.tsv	CA	1	Param 2	0.113532217
cooperativeActivation.tsv	CA	2	r	0.999999661
cooperativeActivation.tsv	CA	2	Param 1	0.846915933
cooperativeActivation.tsv	CA	2	Param 2	0.169482834
cooperativeActivation.tsv	CI	0	r	0.684093423
cooperativeActivation.tsv	CI	0	Param 1	0.712187285
cooperativeActivation.tsv	CI	0	Param 2	0.405088944
cooperativeActivation.tsv	CI	0	Param 3	1.36e-06
cooperativeActivation.tsv	CI	0	Param 4	0.417180644
cooperativeActivation.tsv	CI	1	r	0.683999576
cooperativeActivation.tsv	CI	1	Param 1	0.377245093
cooperativeActivation.tsv	CI	1	Param 2	0.216823589
cooperativeActivation.tsv	CI	1	Param 3	9.43e-16
cooperativeActivation.tsv	CI	1	Param 4	1.0
cooperativeActivation.tsv	CI	2	r	0.683999578
cooperativeActivation.tsv	CI	2	Param 1	0.326435845
cooperativeActivation.tsv	CI	2	Param 2	0.187620685
cooperativeActivation.tsv	CI	2	Param 3	7.99e-14
cooperativeActivation.tsv	CI	2	Param 4	1.0
competitiveInhibition.tsv	A	0	r	0.597829338
competitiveInhibition.tsv	A	0	Param 1	0.688592102
competitiveInhibition.tsv	A	0	Param 2	0.984020877
competitiveInhibition.tsv	A	0	Param 3	6.39e-12
competitiveInhibition.tsv	A	1	r	0.597843863
competitiveInhibition.tsv	A	1	Param 1	0.695973355
competitiveInhibition.tsv	A	1	Param 2	0.98859888
competitiveInhibition.tsv	A	1	Param 3	6.69e-10
competitiveInhibition.tsv	A	2	r	0.59783329
competitiveInhibition.tsv	A	2	Param 1	0.548444566
competitiveInhibition.tsv	A	2	Param 2	0.781964889
competitiveInhibition.tsv	A	2	Param 3	5.46e-08
competitiveInhibition.tsv	I	0	r	0.896439739
competitiveInhibition.tsv	I	0	Param 1	0.557032374
competitiveInhibition.tsv	I	0	Param 2	0.253239084
competitiveInhibition.tsv	I	0	Param 3	0.625118718
competitiveInhibition.tsv	I	1	r	0.871347686
competitiveInhibition.tsv	I	1	Param 1	0.470471871
competitiveInhibition.tsv	I	1	Param 2	0.284370775
competitiveInhibition.tsv	I	1	Param 3	0.374900411
competitiveInhibition.tsv	I	2	r	0.896263976
competitiveInhibition.tsv	I	2	Param 1	0.420555747
competitiveInhibition.tsv	I	2	Param 2	0.189652286
competitiveInhibition.tsv	I	2	Param 3	0.471234191
competitiveInhibition.tsv	CA	0	r	-0.145999487
competitiveInhibition.tsv	CA	0	Param 1	0.46151954
competitiveInhibition.tsv	CA	0	Param 2	0.767926181
competitiveInhibition.tsv	CA	1	r	-0.146220261
competitiveInhibition.tsv	CA	1	Param 1	0.460166523
competitiveInhibition.tsv	CA	1	Param 2	0.740294743
competitiveInhibition.tsv	CA	2	r	-0.14619535
competitiveInhibition.tsv	CA	2	Param 1	0.259243281
competitiveInhibition.tsv	CA	2	Param 2	0.418435085
competitiveInhibition.tsv	CI	0	r	0.999999317
competitiveInhibition.tsv	CI	0	Param 1	0.389467997
competitiveInhibition.tsv	CI	0	Param 2	0.07790005
competitiveInhibition.tsv	CI	0	Param 3	0.968680044
competitiveInhibition.tsv	CI	0	Param 4	0.048456271
competitiveInhibition.tsv	CI	1	r	0.999999293
competitiveInhibition.tsv	CI	1	Param 1	0.995569044
competitiveInhibition.tsv	CI	1	Param 2	0.199131803
competitiveInhibition.tsv	CI	1	Param 3	0.99579509
competitiveInhibition.tsv	CI	1	Param 4	0.04981576
competitiveInhibition.tsv	CI	2	r	0.999999306
competitiveInhibition.tsv	CI	2	Param 1	0.913858255
competitiveInhibition.tsv	CI	2	Param 2	0.182756548
competitiveInhibition.tsv	CI	2	Param 3	0.990030934
competitiveInhibition.tsv	CI	2	Param 4	0.049517735
