source	target	direction	stimulation	inhibition	sources	references
P27361	P23443	1	1	0	ACSN;HPRD;KEA;Kinexus_KEA;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet	ACSN:10601235;ACSN:11431469;ACSN:11940578;ACSN:12040186;ACSN:12697810;ACSN:12738796;ACSN:12792650;ACSN:15173823;ACSN:15187187;ACSN:15547943;ACSN:16039586;ACSN:16227978;ACSN:17052211;ACSN:17255949;ACSN:18039929;ACSN:18775330;ACSN:19091303;ACSN:19541618;ACSN:19565474;ACSN:20080742;HPRD:11279232;KEA:9271440;KEA:9722592;ProtMapper:15774499;SIGNOR:14967450;iPTMnet:11279232
P17612	P78348	1	0	0	HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP	HPRD:12578970;KEA:12578970;PhosphoSite:12578970;ProtMapper:12578970;SIGNOR:12578970;iPTMnet:11279279;iPTMnet:12578970
Q01105	P62714	1	0	1	SIGNOR	SIGNOR:21806989
O14492	P06213	1	0	1	BioGRID;HPRD;KEGG;Lit-BM-17;PhosphoPoint;SIGNOR;Wang	BioGRID:10196204;HPRD:10196204;Lit-BM-17:15031295;Lit-BM-17:17620296;SIGNOR:11498022
P06213	O14492	1	0	0	BioGRID;HPRD;KEGG;Lit-BM-17;PhosphoPoint;Wang	BioGRID:10196204;HPRD:10196204;Lit-BM-17:15031295;Lit-BM-17:17620296
Q00535	Q96RR4	1	0	1	ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ProtMapper:22778263;SIGNOR:22778263;iPTMnet:21669867;iPTMnet:22778263
Q4KMG0	Q12982	1	1	0	SIGNOR	SIGNOR:18678706
P42345	P35568	1	0	1	BioGRID;HPRD;InnateDB;KEA;KEGG;Kinexus_KEA;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet	BioGRID:11287630;HPRD:11287630;InnateDB:15952059;KEA:14769130;ProtMapper:11287630;ProtMapper:17698034;ProtMapper:19561084;ProtMapper:20863384;ProtMapper:21282364;ProtMapper:22570710;ProtMapper:25973388;ProtMapper:9335553;SIGNOR:9335553;iPTMnet:9335553
P35813	Q16539	1	0	1	DEPOD;InnateDB;SIGNOR	DEPOD:18586681;DEPOD:9707433;InnateDB:9707433;SIGNOR:9707433
P15927	P49959	1	1	0	SIGNOR	SIGNOR:19586055
P42574	Q92934	1	1	0	SIGNOR;Wang	SIGNOR:15231831
Q00526	P05412	1	1	0	HPRD_MIMP;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP	ProtMapper:19118012;ProtMapper:26755651;SIGNOR:19118012;iPTMnet:19118012
P48729	Q8TB45	1	0	1	MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ProtMapper:22017877;SIGNOR:22017877;iPTMnet:22017877
Q7Z6J0	Q16584	1	1	0	HPRD;PhosphoPoint;SIGNOR	HPRD:14504284;SIGNOR:12514131
P56704	Q9ULW2	1	1	0	SIGNOR;Wang;connectomeDB2020	SIGNOR:21078818;SIGNOR:23290138;connectomeDB2020:24599775
P56704	Q9ULV1	1	1	0	NetPath;SIGNOR;Wang	NetPath:19020754;SIGNOR:21078818;SIGNOR:23290138
P56704	O00144	1	1	0	SIGNOR;Wang	SIGNOR:21078818;SIGNOR:23290138
P56704	Q9NPG1	1	1	0	CellTalkDB;SIGNOR;Wang	CellTalkDB:18212053;SIGNOR:10601008;SIGNOR:21078818;SIGNOR:23290138
Q14155	Q5S007	1	0	0	IntAct;SIGNOR	IntAct:21048939;SIGNOR:21048939
