code	name	TF	ligand
P42701	IL12RB1	False	False
P17252	PRKCA	False	False
O60674	JAK2	False	False
Q9Y4H2	IRS2	False	False
P05230	FGF1	False	True
P01100	FOS	True	False
Q7Z434	MAVS	False	False
Q01094	E2F1	True	False
P42574	CASP3	False	False
P22681	CBL	False	False
Q8WU20	FRS2	False	False
Q9UQC2	GAB2	False	False
P42773	CDKN2C	False	False
P08151	GLI1	True	False
Q99814	EPAS1	True	False
P78536	ADAM17	False	True
O15519	CFLAR	False	False
P04196	HRG	False	True
P16619	CCL3L1/CCL3L3	False	True
O14640	DVL1	False	False
P15056	BRAF	False	False
Q5VWQ8	DAB2IP	False	False
Q92934	BAD	False	False
P09326	CD48	False	True
P35222	CTNNB1	False	False
P12643	BMP2	False	True
Q9NQC7	CYLD	False	False
Q13131	PRKAA1	False	False
P01019	AGT	False	True
Q96KS0	EGLN2	False	False
P02751	FN1	False	True
P22607	FGFR3	False	False
P09769	FGR	False	False
P19419	ELK1	True	False
Q9ULW2	FZD10	False	False
P10071	GLI3	True	False
P62993	GRB2	False	False
Q12967	RALGDS	False	False
Q9Y243	AKT3	False	False
P01133	EGF	False	True
P06241	FYN	False	False
Q9Y4D1	DAAM1	False	False
P18848	ATF4	True	False
P07333	CSF1R	False	False
P99999	CYCS	False	False
P09603	CSF1	False	True
P36894	BMPR1A	False	False
P55211	CASP9	False	False
P51681	CCR5	False	False
P16220	CREB1	True	False
P61073	CXCR4	False	False
P06307	CCK	False	True
P46663	BDKRB1	False	False
Q07817	BCL2L1	False	False
Q16611	BAK1	False	False
P13501	CCL5	False	True
P35638	DDIT3	True	False
P46108	CRK	False	False
P49715	CEBPA	True	False
P24385	CCND1	False	False
Q92888	ARHGEF1	False	False
P20936	RASA1	False	False
P49023	PXN	False	False
Q16288	NTRK3	False	False
P41143	OPRD1	False	False
P19174	PLCG1	False	False
P62136	PPP1CA	False	False
Q04864	REL	True	False
