source	target	direction	stimulation	inhibition	confidence	sources	references
P98177	O43597	0	0	0	A	DoRothEA;TFe_DoRothEA	nan
P98177	P50591	1	1	0	A	DoRothEA;KEGG_DoRothEA;TRRUST_DoRothEA	DoRothEA:23630076
Q9H334	O95573	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P61158	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P51825	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P51826	0	0	0	B	ARACNe-GTEx_DoRothEA;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9UPQ3	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9Y4K1	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q01432	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q15389	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O15084	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O00203	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	A7KAX9	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q14865	0	0	0	B	ARACNe-GTEx_DoRothEA;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q8WXX7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O14977	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q96PG8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9H6U6	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9NR09	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
