	CON	GC	IFNb	IFNb+TNFa+PGE2+P3C	IFNb+TNFa+PGE2+P3C+IFNg	IFNg	IFNg+TNFa	IL10	IL13	IL4	IL4+upLPS	LPSc	LPSc+IC	P3C	P3C+PGE2	PGE2	TNFa	TNFa+P3C	TNFa+PGE2	TNFa+PGE2+P3C	upLPS	upLPS+IC	upLPS+IFNg
AR	0.7260356936813738	0.6992166331256211	0.558964944262209	0.4462703819659288	0.2183757025140739	0.3664028046079236	0.5611801090731164	0.5755012738236039	0.8503768022328296	0.9002093540741892	0.8371777670634066	0.3603189443552473	0.2370366785832713	0.6770122633858469	0.5762758087811385	0.6414287002408839	0.7271383699777555	0.6644732186791895	0.6012006015719197	0.3503760683981932	0.6249750091149835	0.5300733394718516	0.1662636136167224
RARA	0.1301293739571666	0.2402462813492872	0.4351059002492152	0.7455401791564246	0.6442340220698819	0.2797381748963784	0.3179238961806404	0.3125744910640726	0.4856402202610795	0.4701107758604378	0.7195616256705318	0.6026019798071751	0.8716982773602068	0.2616839910505725	0.2124776684295402	0.2434558061392158	0.5011941297863802	0.6684290095111255	0.6795002153085535	0.5830748636393779	0.2155800703252221	0.3223904570909625	0.4759353422144268
IRF1	0.2172303050918855	0.1179164474235701	0.1533042790000467	0.2250887445520133	0.6876252723063504	0.947216398871958	0.8516505473151775	0.1144815723191954	0.1368163374833364	0.1150733817960854	0.8006224356156961	0.7755307775067712	0.7502539509729952	0.1070334936295805	0.0690820519170992	0.1816744089782677	0.3371840629751694	0.4802053005642858	0.6419132734123291	0.4584602870933301	0.3903077782170912	0.3555734913510955	0.93138881286415
VDR	0.2541413174830399	0.3104703307377716	0.5395530398464558	0.7332442242564957	0.7356024438028639	0.5055037216825815	0.683216217660228	0.1563951657412407	0.6313948604878186	0.6290110258283655	0.7960103089947461	0.3807401576375958	0.2676693396423659	0.3003248037138727	0.5406868202669535	0.5049534111133541	0.4035647755266087	0.5876811007536712	0.8013573522001769	0.4976577791469217	0.4593897897182542	0.2414290287920541	0.7472186824714827
POU2F1	0.5877354835077367	0.6810140650061419	0.4748824767676265	0.2681662360776462	0.1775356316604646	0.7424791693106171	0.4334860394155294	0.7214933171651522	0.7403434112815441	0.7641765227836504	0.7990021774192343	0.4574278579498697	0.6594339235245437	0.5367412185218906	0.3082177108635964	0.2208581438124758	0.6492694745335944	0.5164115843778857	0.7229861707220276	0.6247165349595647	0.3914336467219725	0.494460187205399	0.2574652464415386
ETS1	0.2299097515989678	0.2053023910105424	0.1262448784089469	0.4761455830066648	0.415836266668612	0.5818404730598591	0.5601591803987994	0.2841494663099606	0.4299080695811526	0.2419726145994084	0.1487705045559374	0.7053311570310306	0.7690002114836952	0.2481640458560874	0.3809344660152615	0.2850018448662076	0.4278168747860607	0.5148177576696026	0.6067906997362772	0.7429604811304242	0.3234148952954001	0.2172837795673953	0.7145748105547837
ETS2	0.856080914594618	0.9106113270499292	0.8679978843207715	0.6274866054299583	0.4829373440132786	0.2548183691453441	0.2519127606884251	0.89669741251162	0.4467599831651679	0.3198467945071178	0.5552528559640629	0.4119581011928596	0.6177231927168404	0.7474975259550622	0.5533993028167626	0.5811852428290073	0.5567571734526878	0.6000093986851466	0.1296915631203094	0.3884426371680028	0.7185247446518971	0.809617675311565	0.5254218343481666
ATF2	0.1734987090258698	0.0769438470480853	0.2205932188315694	0.2470214647446524	0.56179931457155	0.9092234547023872	0.6537545214901427	0.2214762203232113	0.3458855378775231	0.200357559929942	0.2592084642621042	0.5802251351520669	0.8401924649333715	0.0945780443899484	0.2880206385015606	0.2113541602195475	0.319484689021678	0.153005316591743	0.6300194738681426	0.5999014150826383	0.0938529012393805	0.0643718587623639	0.3929777015736558
TCF3	0.3874004364020358	0.4121917803921582	0.6173239928540809	0.6235530107876425	0.6043514508558009	0.476197933513608	0.3599921695171957	0.3908204562399031	0.4717856368793359	0.5002540155604474	0.721550394720023	0.4026277360730931	0.4802545375644764	0.3660369183464753	0.5197345325797545	0.32170524469117	0.2890431124296784	0.4634646980818921	0.6874827193833534	0.5099599977166921	0.477277137171103	0.3352702242645861	0.3459825606442113
GATA1	0.4422012966509775	0.4837620588693714	0.5809071025367047	0.7194449621062228	0.7136535443616082	0.4769865086106196	0.5008691468341583	0.3644654820197406	0.540158152776861	0.6430395351738045	0.6266473514814499	0.4725318603723268	0.3737280979317094	0.6484542766143789	0.48181697313831	0.6233366855015997	0.5536102193028126	0.6963196649309795	0.508710744626519	0.4214663020901785	0.5698164361760955	0.6792296643895265	0.5123359187210612
CREB1	0.1868560695824323	0.2214018402964529	0.5026150250149607	0.7408637559018346	0.7481179195411043	0.7494687193061242	0.6362911302697071	0.4269312255823576	0.4706145630522975	0.2191193388584447	0.6645088630007826	0.7576998850998363	0.93278695584293	0.4534661659463011	0.4570337825100148	0.3427406930993301	0.685563048628012	0.6180486100073973	0.8281215804621813	0.799152286544733	0.385501590933373	0.3814674486632061	0.6016276141394554
