	TNF	NFKBn	p100
0.37815126050420167	1.0	0.4008823251813625	0.5415951628364881
0.3865546218487395	1.0	0.4196866430278183	0.5225934967606894
0.3949579831932773	1.0	0.43866345919244515	0.5064193295299814
0.40336134453781514	1.0	0.4574255356074945	0.4930853007109398
0.4117647058823529	1.0	0.475563724845284	0.4825787547139192
0.42016806722689076	1.0	0.49266118262297104	0.4748647701146463
0.42857142857142855	1.0	0.5083113518661839	0.4698875953542366
0.4369747899159664	1.0	0.5221383499545812	0.46757069122785966
0.44537815126050423	1.0	0.5338177909604879	0.46781563020896105
0.453781512605042	1.0	0.5430957372606046	0.4705001507203892
0.46218487394957986	1.0	0.5498035268443391	0.47547572470494054
0.47058823529411764	1.0	0.5538666935293847	0.48256506584725084
0.4789915966386555	1.0	0.5553070015010595	0.491560070742558
0.48739495798319327	1.0	0.5542375759458429	0.5022207276279033
0.4957983193277311	1.0	0.5508520167723894	0.5142755258133106
0.5042016806722689	1.0	0.5454090535165249	0.527423831348517
0.5126050420168067	1.0	0.5382146381645847	0.5413405463689386
0.5210084033613446	1.0	0.5296033740064557	0.5556831410008195
0.5294117647058824	1.0	0.5199209123881757	0.5701008584018039
0.5378151260504201	1.0	0.5095085228710108	0.5842455891715312
0.5462184873949579	1.0	0.49869056443115706	0.5977836478535564
0.5546218487394958	1.0	0.4877651412755074	0.6104075163603211
0.5630252100840336	1.0	0.4769978689735852	0.6218465835378338
0.5714285714285714	1.0	0.4666184260629055	0.6318760142931402
0.5798319327731093	1.0	0.45681942081868016	0.6403231025533783
0.5882352941176471	0.0	0.44775704614099743	0.6470707538486182
0.5966386554621849	0.0	0.3581889410015484	0.6520580506886201
0.6050420168067226	0.0	0.28653438763705374	0.6552781276648731
0.6134453781512605	0.0	0.22921070079193911	0.6567737891797838
0.6218487394957983	0.0	0.18335173095467241	0.6566314256821725
0.6302521008403361	0.0	0.14666455701892897	0.6549738261121828
0.6386554621848739	0.0	0.11731484045143029	0.651952458641351
0.6470588235294118	0.0	0.09383510865221735	0.6477397183496537
0.6554621848739496	0.0	0.07505138165944433	0.6425215396608498
0.6638655462184874	0.0	0.060024473523670574	0.6364906610416174
0.6722689075630253	0.0	0.04800303341467745	0.629840723259702
0.680672268907563	0.0	0.03838597851395349	0.6112471089366993
0.6890756302521008	0.0	0.030692617554819338	0.5845586466312664
0.6974789915966386	0.0	0.02453836639993928	0.5526937924847075
0.7058823529411765	0.0	0.019615543319572812	0.5178443712570932
0.7142857142857143	0.0	0.0156779982382279	0.48163662580847344
0.7226890756302521	0.0	0.01252881271114802	0.4452583271099161
0.7310924369747899	0.0	0.010010452049831548	0.40955892293521734
0.7394957983193278	0.0	0.007996773598114916	0.3751282868243799
0.7478991596638656	0.0	0.00638680501561161	0.3423584979648721
0.7563025210084033	0.0	0.005099757336541512	0.3114921799300047
0.7647058823529411	0.0	0.004070992523500053	0.28266020587232604
0.773109243697479	0.0	0.0032487964436444866	0.2559110281987716
0.7815126050420168	0.0	0.0025917964197903916	0.2312333453879579
0.7899159663865546	0.0	0.0020668946299549702	0.20857355771439015
0.7983193277310925	0.0	0.001647614333100205	0.1878491276612645
0.8067226890756303	0.0	0.0013127764717084727	0.1689587300583704
0.8151260504201681	0.0	0.0010454406666554848	0.15178989208954102
0.8235294117647058	0.0	0.0008320577969426132	0.13622466195588973
0.8319327731092437	0.0	0.0006617919030938499	0.12214377352408806
0.8403361344537815	0.0	0.0005259775920390026	0.10942964713973342
0.8487394957983193	0.0	0.0004176858761153719	0.0979684897023503
0.8571428571428571	0.0	0.00033137678484966674	0.08765170706205375
0.865546218487395	0.0	0.00026262141442124834	0.07837679559907335
0.8739495798319328	0.0	0.00020787954200641464	0.0700478432759664
0.8823529411764706	0.0	0.00016432170307707864	0.06257574154134467
0.8907563025210085	0.0	0.0001296868472441173	0.05587818664450135
0.8991596638655462	0.0	0.00010216846289485392	0.0498795309410364
0.907563025210084	0.0	8.032348111019641e-05	0.044510530632758095
0.9159663865546218	0.0	6.299940593578372e-05	0.03970802529581427
0.9243697478991597	0.0	4.927602766631953e-05	0.03541457587574883
0.9327731092436975	0.0	3.841880371559095e-05	0.03157808106310265
0.9411764705882353	0.0	2.9841574166734805e-05	0.028151386707290112
0.9495798319327731	0.0	2.307674526367703e-05	0.025091898860967365
0.957983193277311	0.0	1.7751447152789344e-05	0.022361207918764763
0.9663865546218487	0.0	1.3568470710816416e-05	0.019924728922148194
0.9747899159663865	0.0	1.0291027184415687e-05	0.017751361287008827
0.9831932773109243	0.0	7.730565529441492e-06	0.01581316984622325
0.9915966386554622	0.0	5.737035306939829e-06	0.014085088086131518
1.0	0.0	4.191105396557906e-06	0.012544643714892365
