	viability
C_324	1.0061789732992652
C_325	0.9897231112253415
C_326	0.97290164174974
C_327	0.9646358162146169
C_328	0.9016312194839773
C_329	0.9103797104325677
C_330	0.9336720600248354
C_331	0.9591418624107635
C_332	0.9561419959990836
C_333	0.9070907352871025
C_334	0.7391187426126237
C_335	0.5401002238863206
C_336	1.0195330871926198
C_337	1.04243874375333
C_338	1.031546810078498
C_339	0.973254235938972
C_340	0.8875116131081577
C_341	0.768369249407648
C_342	0.6931579119413476
C_343	0.5765823802574576
C_344	0.983646521828883
C_345	0.9910913984893361
C_346	0.9703401047131177
C_347	0.9437928600371905
C_348	0.9161497318714615
C_349	0.8541435179884753
C_350	0.640886142248696
C_351	0.28728136639024837
C_352	0.9810798068536895
C_353	0.9643183847413561
C_354	0.9507606834019935
C_355	0.921116744857372
C_356	0.8140167604253715
C_357	0.806745004407272
C_358	0.7993986837727424
C_359	0.7918972739178697
C_360	0.9773599637969443
C_361	0.9786069634717809
C_362	0.9836435134003534
C_363	0.998069234965427
C_364	1.0168595760383587
C_365	1.0208497950080384
C_366	0.992286571218927
C_367	0.9062716533041872
C_368	1.0197330307098411
C_369	1.0353939762496747
C_370	1.0326767208806136
C_371	1.0269498896488058
C_372	0.926086498343919
C_373	0.7946844781173972
C_374	0.6424319361598454
C_375	0.44906261914569434
C_376	0.9821016480349327
C_377	0.9819833672429938
C_378	0.9783816844451656
C_379	0.9587067335658368
C_380	0.9535146562647931
C_381	0.9185311653949473
C_382	0.8426545548249079
C_383	0.8200601757704654
C_384	0.9014274531201019
C_385	0.9102846965557654
C_386	0.9307255402319359
C_387	0.8898771493263664
C_388	0.885120570196362
C_389	0.7984997275804602
C_390	0.6285327291337784
C_391	0.43011152873282077
C_392	1.0746777068281026
C_393	1.0863859478369577
C_394	1.0482840042022172
C_395	1.0140070182021161
C_396	0.9636662489464238
C_397	0.8999266259241088
C_398	0.7865870753689578
C_399	0.5951103470692471
C_400	1.0272441611928629
C_401	1.033677539929225
C_402	0.9343636005089095
C_403	0.7272283523321417
C_404	0.3602291285924476
C_405	0.22880740416001707
C_406	0.2129020351499494
C_407	0.2037752864800028
C_408	1.020386874815522
C_409	0.9976320564327363
C_410	0.991951954129136
C_411	0.9673821465051791
C_412	0.918874216016601
C_413	0.9149435128164749
C_414	0.9108121217299634
C_415	0.9064095375781986
C_416	1.0090147856261689
C_417	1.013353037721975
C_418	1.0246131795281173
C_419	1.047752048735351
C_420	1.0654984696432404
C_421	1.0598333130580289
C_422	1.0352601306134035
C_423	0.9709059227784931
C_424	1.0739315192096046
C_425	1.0840595003148352
C_426	1.0797607026701024
C_427	1.0635174960420066
C_428	0.8832753288254798
C_429	0.7757635624842389
C_430	0.5148083462502531
C_431	0.32003415689844217
C_432	1.0238512353077585
C_433	1.0258996367941486
C_434	1.0151924257618181
C_435	0.9956446042526799
C_436	0.9891939853582974
C_437	0.971694590113084
C_438	0.9445315813688406
C_439	0.9395192129401271
C_440	0.9418410684514913
C_441	0.9597728524843259
C_442	0.9634574858819145
C_443	0.9234736228362315
C_444	0.9339267704623109
C_445	0.8611902545066701
C_446	0.714728516018167
C_447	0.43062924576734485
C_448	1.0160172942171124
C_449	0.9920842769285292
C_450	0.8081019392427076
C_451	0.5331159422370986
C_452	0.30933394695911764
C_453	0.21597481425582352
C_454	0.13041598562852094
C_455	0.0752049269079327
C_456	0.9772505566110306
C_457	0.9798653351859787
C_458	0.8802167330816899
C_459	0.8377256680061813
C_460	0.7687064754496742
C_461	0.5182026709549916
C_462	0.14451315928259031
C_463	0.05194082739018821
C_464	0.9737736390937894
C_465	0.9257350445061985
C_466	0.8969944792139948
C_467	0.7505502142415263
C_468	0.5475820264759067
C_469	0.5396908367661137
C_470	0.5319717753339624
C_471	0.524313290781753
C_472	0.9534716020287701
C_473	0.9540300349571988
C_474	0.9595430125515854
C_475	0.9745556122296439
C_476	0.9918531705848672
C_477	0.9793311206743458
C_478	0.9299890610639547
C_479	0.7648239764571861
C_480	1.0180135372245063
C_481	1.025755508661798
C_482	1.008796478696885
C_483	0.9504756187675019
C_484	0.7998101965869288
C_485	0.6854093789149878
C_486	0.4456494675785765
C_487	0.27959314257164003
C_488	0.9761212259092029
C_489	0.9742463756902464
C_490	0.9573055387861857
C_491	0.9134620067639709
C_492	0.8914331147761183
C_493	0.7507155775940425
C_494	0.5763924096704718
C_495	0.5613717454064916
C_496	0.8860377783777509
C_497	0.8925443502434491
C_498	0.8465760367581111
C_499	0.7272942080366369
C_500	0.5854700705097314
C_501	0.2909805156567592
C_502	0.18156725370325796
C_503	0.10280796224588093
C_504	1.0202255375979024
C_505	1.0350945781960275
C_506	1.0241145814669246
C_507	0.9873181037030883
C_508	0.8981464719285639
C_509	0.7913097172726513
C_510	0.672945972817866
C_511	0.4577836777137445
C_512	0.9653741066853871
C_513	0.974039463017814
C_514	0.9807173857014622
C_515	0.960175789234263
C_516	0.9388370056667394
C_517	0.9026216554074196
C_518	0.7417399038664862
C_519	0.41448093123526686
C_520	0.9635745464183163
C_521	0.7926335611027434
C_522	0.6860654155392966
C_523	0.5714175028845534
C_524	0.38524110699877556
C_525	0.374971994574424
C_526	0.3648159183554164
C_527	0.354671509021554
C_528	0.9490062459356547
C_529	0.9516000920639556
C_530	0.9633169303099571
C_531	0.9845352660168256
C_532	0.9969171273547028
C_533	0.958608714899847
C_534	0.6898279663814884
C_535	0.5167044608734118
C_536	1.0212628893856353
C_537	1.0231841956509398
C_538	1.015259735501937
C_539	0.9747462030944436
C_540	0.5866365459173641
C_541	0.40336372884254845
C_542	0.20994423059719516
C_543	0.2070875183827031
C_544	0.966019588479266
C_545	0.9638293124236528
C_546	0.9259304280627088
C_547	0.7235800437429296
C_548	0.6809341954290153
C_549	0.5884549391113002
C_550	0.4371656876959106
C_551	0.4159898695245108
C_552	0.8625085943977856
C_553	0.8676510417666248
C_554	0.8910171303959737
C_555	0.8776790378307566
C_556	0.8604231372890679
C_557	0.7860608226430503
C_558	0.5310601531756198
C_559	0.3536438112954394
C_560	1.0618506828283367
C_561	1.066014616238482
C_562	1.0768636285514066
C_563	1.0506196929184028
C_564	0.9532569812592919
C_565	0.7938342881491208
C_566	0.6862515662543995
C_567	0.5356441519159048
C_568	1.022185952038422
C_569	1.0302970218304435
C_570	1.0463438021553875
C_571	1.0373272176380939
C_572	1.0225913116000784
C_573	0.9843749314415384
C_574	0.8562392813264298
C_575	0.5891413686713476
C_576	1.022727780170381
C_577	1.0011218696108397
C_578	0.9810787166570931
C_579	0.9542346480344814
C_580	0.8759835943652846
C_581	0.869029797510915
C_582	0.8615979881134702
C_583	0.8536081988966528
C_584	1.0037730201507
C_585	1.008753901311456
C_586	1.0245273907853396
C_587	1.0334833174747196
C_588	1.037377428678257
C_589	1.0274176135980788
C_590	0.9970939395950562
C_591	0.9155241444511149
C_592	1.0627425265182286
C_593	1.0607151997128248
C_594	1.0537559933594358
C_595	1.0107023172665157
