iteration	mse	correlation	start	stop
3600.0	0.006409855627877072	0.9661266242560204	635.5430161952972	635.6125302314758
3650.0	0.006341424275097416	0.966425566048767	643.8885560035706	643.9600222110748
3700.0	0.006322120955642898	0.9665476483733975	652.5900835990906	652.6642723083496
3750.0	0.006258595954170572	0.966889334388911	660.8139855861664	660.8878767490387
3800.0	0.006222854513773024	0.9670909160955855	669.3096029758453	669.3643426895142
3850.0	0.006199962816684936	0.9672076194968751	677.820821762085	677.8901522159576
3900.0	0.006181979234265861	0.9673189732848655	686.5844299793243	686.6553318500519
3950.0	0.006227682202430144	0.9670417347705577	695.2337772846222	695.3071620464325
4000.0	0.006458175001461514	0.9657734047315623	703.9509077072144	704.0528211593628
4050.0	0.006187084833933884	0.9672632872726983	712.6099996566772	712.6845197677612
