index	start	stop	mse
95.0	19.743077278137207	19.902167081832886	0.18219195926933066
96.0	19.9022159576416	20.06467080116272	0.1818385904875286
97.0	20.06478500366211	20.22756791114807	0.18154976299487793
98.0	20.227617025375366	20.386162996292114	0.1813865616401078
99.0	20.38621211051941	20.54352331161499	0.1809892194839603
100.0	20.543571949005127	20.703288555145264	0.18060917351432068
101.0	20.783076524734497	20.917187690734863	0.18042396507252464
102.0	20.917243242263794	21.075711011886597	0.1801701900870469
103.0	21.07576036453247	21.2338969707489	0.17990660410942594
104.0	21.233945846557617	21.39060068130493	0.1796964339791659
105.0	21.3906569480896	21.543052911758423	0.1791924776760256
106.0	21.543103218078613	21.69655442237854	0.17903017184227196
107.0	21.69660449028015	21.860494375228882	0.1786730014685514
108.0	21.860559940338135	22.02424907684326	0.17837538695762578
